Dia,Mes,Anio,Estacion,Alcaldia,Latitud,Longitud,avgAQI
1,1,2016,Ajusco,TLALPAN,19.1542854309082,-99.1626129150391,34
1,1,2016,Ajusco Medio,TLALPAN,19.2721614837646,-99.2077407836914,158
1,1,2016,Benito Juarez,BENITO JUAREZ,19.3704643249512,-99.1595993041992,184
1,1,2016,Camarones,AZCAPOTZALCO,19.4684047698975,-99.169792175293,207
1,1,2016,Centro de Ciencias de la Atmosfera,COYOACAN,19.3261108398438,-99.1761093139648,47
1,1,2016,Coyoacan,COYOACAN,19.3502578735352,-99.1571044921875,48
1,1,2016,Cuajimalpa,CUAJIMALPA DE MORELOS,19.3653125762939,-99.2917022705078,171
1,1,2016,Gustavo A. Madero,GUSTAVO A MADERO,19.4827003479004,-99.0945205688477,49
1,1,2016,Hospital General de Mexico,CUAUHTEMOC,19.4116172790527,-99.1522064208984,182
1,1,2016,Iztacalco,IZTACALCO,19.3844127655029,-99.1176376342773,188
1,1,2016,Merced,VENUSTIANO CARRANZA,19.4246101379395,-99.1195907592773,195
1,1,2016,Miguel Hidalgo,MIGUEL HIDALGO,19.4040508270264,-99.2026596069336,182
1,1,2016,Pedregal,ALVARO OBREGON,19.3251457214355,-99.2041397094727,53
1,1,2016,Tlahuac,TLAHUAC,19.2464580535889,-99.0105667114258,171
1,1,2016,UAM Iztapalapa,IZTAPALAPA,19.3607940673828,-99.0738830566406,39
1,1,2016,UAM Xochimilco,COYOACAN,19.3044414520264,-99.103630065918,43
2,1,2016,Ajusco,TLALPAN,19.1542854309082,-99.1626129150391,19
2,1,2016,Ajusco Medio,TLALPAN,19.2721614837646,-99.2077407836914,35
2,1,2016,Benito Juarez,BENITO JUAREZ,19.3704643249512,-99.1595993041992,119
2,1,2016,Camarones,AZCAPOTZALCO,19.4684047698975,-99.169792175293,128
2,1,2016,Centro de Ciencias de la Atmosfera,COYOACAN,19.3261108398438,-99.1761093139648,27
2,1,2016,Coyoacan,COYOACAN,19.3502578735352,-99.1571044921875,26
2,1,2016,Cuajimalpa,CUAJIMALPA DE MORELOS,19.3653125762939,-99.2917022705078,101
2,1,2016,Gustavo A. Madero,GUSTAVO A MADERO,19.4827003479004,-99.0945205688477,22
2,1,2016,Hospital General de Mexico,CUAUHTEMOC,19.4116172790527,-99.1522064208984,110
2,1,2016,Iztacalco,IZTACALCO,19.3844127655029,-99.1176376342773,95
2,1,2016,Merced,VENUSTIANO CARRANZA,19.4246101379395,-99.1195907592773,119
2,1,2016,Miguel Hidalgo,MIGUEL HIDALGO,19.4040508270264,-99.2026596069336,104
2,1,2016,Pedregal,ALVARO OBREGON,19.3251457214355,-99.2041397094727,29
2,1,2016,Tlahuac,TLAHUAC,19.2464580535889,-99.0105667114258,98
2,1,2016,UAM Iztapalapa,IZTAPALAPA,19.3607940673828,-99.0738830566406,20
2,1,2016,UAM Xochimilco,COYOACAN,19.3044414520264,-99.103630065918,21
3,1,2016,Ajusco,TLALPAN,19.1542854309082,-99.1626129150391,22
3,1,2016,Ajusco Medio,TLALPAN,19.2721614837646,-99.2077407836914,120
3,1,2016,Benito Juarez,BENITO JUAREZ,19.3704643249512,-99.1595993041992,123
3,1,2016,Camarones,AZCAPOTZALCO,19.4684047698975,-99.169792175293,126
3,1,2016,Centro de Ciencias de la Atmosfera,COYOACAN,19.3261108398438,-99.1761093139648,3
3,1,2016,Coyoacan,COYOACAN,19.3502578735352,-99.1571044921875,21
3,1,2016,Cuajimalpa,CUAJIMALPA DE MORELOS,19.3653125762939,-99.2917022705078,89
3,1,2016,Gustavo A. Madero,GUSTAVO A MADERO,19.4827003479004,-99.0945205688477,14
