,ID,Dia,Mes,Anio,Latitud,Longitud,Alcaldia,Alcaldia_num,AQI,Crimenes,r,p value,% / 10 AQI
0,1_1_2016_AZCAP,1,1,2016,19.4684047698975,-99.169792175293,AZCAPOTZALCO,7,206,7,0.01273,0.82162,0.07958
1,1_1_2016_BENIT,1,1,2016,19.3704643249512,-99.1595993041992,BENITO JUAREZ,1,184,7,0.04583,0.38995,0.31513
2,1_1_2016_CUAJI,1,1,2016,19.3653125762939,-99.2917022705078,CUAJIMALPA DE MORELOS,5,164,10,0.05489,0.40533,0.27603
3,1_1_2016_CUAUH,1,1,2016,19.4116172790527,-99.1522064208984,CUAUHTEMOC,8,178,12,0.09876,0.06456,0.54579
4,1_1_2016_IZTAC,1,1,2016,19.3844127655029,-99.1176376342773,IZTACALCO,3,187,12,0.13991,0.01036,0.74039
5,1_1_2016_MIGUE,1,1,2016,19.4040508270264,-99.2026596069336,MIGUEL HIDALGO,9,180,6,0.0727,0.17233,0.40209
6,1_1_2016_TLAHU,1,1,2016,19.2464580535889,-99.0105667114258,TLAHUAC,6,171,8,0.07758,0.16359,0.47823
7,1_1_2016_TLALP,1,1,2016,19.2721614837646,-99.2077407836914,TLALPAN,4,161,12,-0.03953,0.46228,-0.23408
8,1_1_2016_VENUS,1,1,2016,19.4246101379395,-99.1195907592773,VENUSTIANO CARRANZA,2,195,10,0.09313,0.09526,0.50963
9,2_1_2016_AZCAP,2,1,2016,19.4684047698975,-99.169792175293,AZCAPOTZALCO,7,128,4,0.01273,0.82162,0.07958
10,2_1_2016_BENIT,2,1,2016,19.3704643249512,-99.1595993041992,BENITO JUAREZ,1,119,2,0.04583,0.38995,0.31513
11,2_1_2016_CUAJI,2,1,2016,19.3653125762939,-99.2917022705078,CUAJIMALPA DE MORELOS,5,101,2,0.05489,0.40533,0.27603
12,2_1_2016_CUAUH,2,1,2016,19.4116172790527,-99.1522064208984,CUAUHTEMOC,8,108,26,0.09876,0.06456,0.54579
13,2_1_2016_IZTAC,2,1,2016,19.3844127655029,-99.1176376342773,IZTACALCO,3,94,16,0.13991,0.01036,0.74039
14,2_1_2016_MIGUE,2,1,2016,19.4040508270264,-99.2026596069336,MIGUEL HIDALGO,9,104,12,0.0727,0.17233,0.40209
15,2_1_2016_TLAHU,2,1,2016,19.2464580535889,-99.0105667114258,TLAHUAC,6,98,8,0.07758,0.16359,0.47823
16,2_1_2016_VENUS,2,1,2016,19.4246101379395,-99.1195907592773,VENUSTIANO CARRANZA,2,122,2,0.09313,0.09526,0.50963
17,3_1_2016_AZCAP,3,1,2016,19.4684047698975,-99.169792175293,AZCAPOTZALCO,7,126,6,0.01273,0.82162,0.07958
18,3_1_2016_BENIT,3,1,2016,19.3704643249512,-99.1595993041992,BENITO JUAREZ,1,123,6,0.04583,0.38995,0.31513
19,3_1_2016_CUAJI,3,1,2016,19.3653125762939,-99.2917022705078,CUAJIMALPA DE MORELOS,5,89,2,0.05489,0.40533,0.27603
20,3_1_2016_CUAUH,3,1,2016,19.4116172790527,-99.1522064208984,CUAUHTEMOC,8,116,16,0.09876,0.06456,0.54579
21,3_1_2016_IZTAC,3,1,2016,19.3844127655029,-99.1176376342773,IZTACALCO,3,107,8,0.13991,0.01036,0.74039
22,3_1_2016_MIGUE,3,1,2016,19.4040508270264,-99.2026596069336,MIGUEL HIDALGO,9,111,4,0.0727,0.17233,0.40209
23,3_1_2016_TLAHU,3,1,2016,19.2464580535889,-99.0105667114258,TLAHUAC,6,108,6,0.07758,0.16359,0.47823
24,3_1_2016_TLALP,3,1,2016,19.2721614837646,-99.2077407836914,TLALPAN,4,120,6,-0.03953,0.46228,-0.23408
25,3_1_2016_VENUS,3,1,2016,19.4246101379395,-99.1195907592773,VENUSTIANO CARRANZA,2,144,4,0.09313,0.09526,0.50963
26,4_1_2016_AZCAP,4,1,2016,19.4684047698975,-99.169792175293,AZCAPOTZALCO,7,138,10,0.01273,0.82162,0.07958
27,4_1_2016_BENIT,4,1,2016,19.3704643249512,-99.1595993041992,BENITO JUAREZ,1,127,6,0.04583,0.38995,0.31513
28,4_1_2016_CUAJI,4,1,2016,19.3653125762939,-99.2917022705078,CUAJIMALPA DE MORELOS,5,105,2,0.05489,0.40533,0.27603
29,4_1_2016_CUAUH,4,1,2016,19.4116172790527,-99.1522064208984,CUAUHTEMOC,8,130,20,0.09876,0.06456,0.54579
30,4_1_2016_IZTAC,4,1,2016,19.3844127655029,-99.1176376342773,IZTACALCO,3,128,12,0.13991,0.01036,0.74039
31,4_1_2016_IZTAP,4,1,2016,19.3607940673828,-99.0738830566406,IZTAPALAPA,10,82,38,0.25845,0.00015,1.20472
32,4_1_2016_MIGUE,4,1,2016,19.4040508270264,-99.2026596069336,MIGUEL HIDALGO,9,122,14,0.0727,0.17233,0.40209
33,4_1_2016_TLAHU,4,1,2016,19.2464580535889,-99.0105667114258,TLAHUAC,6,102,10,0.07758,0.16359,0.47823
34,4_1_2016_TLALP,4,1,2016,19.2721614837646,-99.2077407836914,TLALPAN,4,122,12,-0.03953,0.46228,-0.23408
35,5_1_2016_AZCAP,5,1,2016,19.4684047698975,-99.169792175293,AZCAPOTZALCO,7,120,12,0.01273,0.82162,0.07958
36,5_1_2016_BENIT,5,1,2016,19.3704643249512,-99.1595993041992,BENITO JUAREZ,1,109,2,0.04583,0.38995,0.31513
37,5_1_2016_CUAJI,5,1,2016,19.3653125762939,-99.2917022705078,CUAJIMALPA DE MORELOS,5,61,2,0.05489,0.40533,0.27603
38,5_1_2016_CUAUH,5,1,2016,19.4116172790527,-99.1522064208984,CUAUHTEMOC,8,105,24,0.09876,0.06456,0.54579
39,5_1_2016_IZTAC,5,1,2016,19.3844127655029,-99.1176376342773,IZTACALCO,3,97,18,0.13991,0.01036,0.74039
40,5_1_2016_IZTAP,5,1,2016,19.3607940673828,-99.0738830566406,IZTAPALAPA,10,111,30,0.25845,0.00015,1.20472
