,ID,Dia,Mes,Anio,Latitud,Longitud,Alcaldia,Alcaldia_num,AQI,Crimenes,r,p value,% / 10 AQI
0,1_1_2016_ALVAR,1,1,2016,19.3251457214355,-99.2041397094727,ALVARO OBREGON,11,53,5,-0.00885,0.87071,-0.07645
1,1_1_2016_AZCAP,1,1,2016,19.4684047698975,-99.169792175293,AZCAPOTZALCO,7,207,4,-0.02489,0.64123,-0.10199
2,1_1_2016_BENIT,1,1,2016,19.3704643249512,-99.1595993041992,BENITO JUAREZ,1,184,4,0.04593,0.38688,0.298
3,1_1_2016_COYOA,1,1,2016,19.3044414520264,-99.103630065918,COYOACAN,14,43,6,0.21894,3e-05,2.00756
4,1_1_2016_CUAJI,1,1,2016,19.3653125762939,-99.2917022705078,CUAJIMALPA DE MORELOS,5,171,5,0.07397,0.26074,0.28515
5,1_1_2016_CUAUH,1,1,2016,19.4116172790527,-99.1522064208984,CUAUHTEMOC,8,182,6,0.11413,0.02903,0.55094
6,1_1_2016_GUSTA,1,1,2016,19.4827003479004,-99.0945205688477,GUSTAVO A MADERO,12,49,10,0.1401,0.00803,1.3659
7,1_1_2016_IZTAC,1,1,2016,19.3844127655029,-99.1176376342773,IZTACALCO,3,188,6,0.11471,0.03191,0.53143
8,1_1_2016_IZTAP,1,1,2016,19.3607940673828,-99.0738830566406,IZTAPALAPA,10,39,21,0.0709,0.1795,0.1876
9,1_1_2016_MIGUE,1,1,2016,19.4040508270264,-99.2026596069336,MIGUEL HIDALGO,9,182,3,0.05957,0.26429,0.31492
10,1_1_2016_TLAHU,1,1,2016,19.2464580535889,-99.0105667114258,TLAHUAC,6,171,4,0.06017,0.27215,0.34631
11,1_1_2016_TLALP,1,1,2016,19.1542854309082,-99.1626129150391,TLALPAN,4,34,6,0.07686,0.14441,0.5717
12,1_1_2016_VENUS,1,1,2016,19.4246101379395,-99.1195907592773,VENUSTIANO CARRANZA,2,195,5,0.03224,0.54488,0.13043
13,2_1_2016_ALVAR,2,1,2016,19.3251457214355,-99.2041397094727,ALVARO OBREGON,11,29,4,-0.00885,0.87071,-0.07645
14,2_1_2016_AZCAP,2,1,2016,19.4684047698975,-99.169792175293,AZCAPOTZALCO,7,128,2,-0.02489,0.64123,-0.10199
